corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,4216843,42,False,66,9.695379299999331
1,4917318,49,False,98,9.422535599995172
2,5815998,58,False,56,11.051759299996775
3,5016818,50,False,97,9.370218299998669
4,5415268,54,False,95,10.235995499999262
5,4815718,48,False,81,9.94833899999503
6,3615618,36,False,8,9.96849129999464
7,5516423,55,False,98,9.84466909999901
8,4616838,46,False,98,9.823541800011299
9,5216223,52,False,61,10.199253800004954
10,5415688,54,False,40,9.817908400000306
11,5715158,57,False,95,9.837792499994976
12,4416603,44,False,40,9.829275600000983
13,3916203,39,False,84,9.728175800002646
14,5215723,52,False,98,9.882291200003237
15,4616293,46,False,99,11.83037239999976
16,5316378,53,False,55,9.7684631000011
17,5116203,51,False,99,8.912817100004759
18,4517143,45,False,73,8.580307299998822
19,5316398,53,False,98,8.493345800001407
20,5415473,54,False,10,8.497445300003164
21,5016908,50,False,58,8.518022599993856
22,5316998,53,False,22,8.73164430000179
23,4217063,42,False,79,8.453769200001261
24,4916243,49,False,34,8.560790100003942
25,5116048,51,False,94,8.800115399993956
26,4615943,46,False,53,9.222204500008957
27,5517648,55,False,62,8.39585650000663
28,5616468,56,False,67,8.472358800005168
29,5616523,56,False,63,8.337018699996406
