corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,4115453,41,False,4389,1.334802800003672
1,2216433,22,False,4578,1.2704207000060705
2,3515643,35,False,4031,1.2508948000031523
3,3216023,32,False,3912,1.2571054000000004
4,2814553,28,False,4281,1.277383100008592
5,1515518,15,False,4588,1.2669697000092128
6,1815488,18,False,4559,1.2518256999901496
7,3015593,30,False,4290,1.285574399997131
8,1816743,18,False,4466,1.2558140000037383
9,1015963,10,False,4568,1.2368091999960598
10,2715373,27,False,4565,1.2500529999961145
11,2014533,20,False,4100,1.2489934000041103
12,2816053,28,False,4500,1.2123527000076137
13,2215733,22,False,4239,1.3007718000008026
14,2416253,24,False,3637,1.256428099994082
15,2615593,26,False,4460,1.2312150000070687
16,1315553,13,False,4405,1.2347512999986066
17,1815473,18,False,3607,1.2292582999943988
18,1915358,19,False,4057,1.2592418999993242
19,2214723,22,False,3866,1.2322510999947554
20,2415833,24,False,4129,1.240610499997274
21,2015143,20,False,3624,1.2455248000042047
22,2014353,20,False,4455,1.2219544000108726
23,2815133,28,False,3941,1.2312798999919323
24,3916013,39,False,4411,1.2249515000003157
25,3416043,34,False,4505,1.2401890000037383
26,3916158,39,False,4372,1.2419748000102118
27,3616243,36,False,4243,1.2588817000068957
28,1215673,12,False,4404,1.2428065999993123
29,2516718,25,False,4461,1.2322328000009293
