costo_promedio,mejor_costo,peor_costo,desviacion_estandar,coeficiente_variacion,porcentaje_factible,tiempo_promedio,iteracion_convergencia_promedio,nombre
1845611,215533,3915223,818910.6610409659,0.4437070764321224,0.0,4.741332076667459,9367.533333333333,combo_01
1795608.1666666667,215533,3915223,780640.2514740851,0.43474977779993673,0.0,5.1212782166679975,9972.3,combo_02
1792269.1666666667,215533,3915223,782085.4094592925,0.43636604590695827,0.0,5.381923326666583,10279.8,combo_03
1582112.1666666667,215533,3216258,641856.0183683416,0.40569564654866436,0.0,6.510497853333558,12378.5,combo_04
1542125.6666666667,215533,3216243,636269.4683488974,0.41259248977043855,0.0,7.570653439997598,12773.266666666666,combo_05
1542125.6666666667,215533,3216243,636269.4683488974,0.41259248977043855,0.0,7.749374546664088,12773.266666666666,combo_06
1565626,16033,3516423,860741.490953765,0.5497746530485346,3.3333333333333335,9.111800443333534,16007.333333333334,combo_07
1565626,16033,3516423,860741.490953765,0.5497746530485346,3.3333333333333335,10.238949260000178,16007.333333333334,combo_08
1565626,16033,3516423,860741.490953765,0.5497746530485346,3.3333333333333335,11.098326019998543,16007.333333333334,combo_09
1755512.1666666667,215568,3616858,741287.40070102,0.4222627531591322,0.0,4.109988593331946,9356.866666666667,combo_10
