corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,5716833,57,False,27,1.926787800010061
1,5916293,59,False,22,1.940985199995339
2,5316888,53,False,27,1.9606324000051245
3,5216878,52,False,27,2.040548899996793
4,5117188,51,False,27,2.0060726999945473
5,6417733,64,False,16,1.9546820999821648
6,3715468,37,False,8,1.965265000006184
7,5615513,56,False,15,1.9859168999828398
8,5718188,57,False,21,2.012492999987444
9,5516408,55,False,28,1.9734748000046238
10,5316868,53,False,11,2.003228500019759
11,5818563,58,False,28,2.000189699989278
12,5016458,50,False,16,2.010259500006214
13,4515808,45,False,18,2.061916200007545
14,5416433,54,False,21,2.06717789999675
15,5716958,57,False,25,2.002892900025472
16,5817518,58,False,10,2.012076099985279
17,5415863,54,False,29,2.052080900000874
18,6316718,63,False,25,2.0231301999883726
19,5615753,56,False,17,2.0110887000046205
20,5715898,57,False,10,2.064144400006626
21,4016808,40,False,24,2.0225971000036225
22,5816343,58,False,25,1.9917280999943614
23,5916438,59,False,14,2.0475836000114214
24,5716703,57,False,5,2.051612900017062
25,6416523,64,False,21,2.015771100006532
26,5917818,59,False,28,2.022876200004248
27,6115428,61,False,27,2.0291942000039853
28,4916913,49,False,26,2.0333519999985583
29,5015608,50,False,26,2.0254661999933887
