corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,5116273,51,False,1356,0.35770779999438673
1,3916423,39,False,1324,0.5270867999934126
2,3415158,34,False,1306,0.5444366000010632
3,4615373,46,False,1149,0.3822383999940939
4,4014103,40,False,1365,0.3810142000147607
5,4415583,44,False,1354,0.37386849999893457
6,4615768,46,False,1081,0.3652194000023883
7,3815918,38,False,1190,0.3708076000039
8,4314978,43,False,1346,0.36022829997818917
9,3514533,35,False,1364,0.35622059999150224
10,5216198,52,False,1368,0.36739050000323914
11,3415843,34,False,1335,0.3594884999911301
12,5116613,51,False,1343,0.351766099978704
13,2715773,27,False,1257,0.35686299999360926
14,3815778,38,False,1376,0.355748300004052
15,3516133,35,False,1378,0.3580677999998443
16,3316263,33,False,1376,0.37779349999618717
17,4215613,42,False,1326,0.3590869999898132
18,3416138,34,False,1372,0.3570076000178233
19,4616258,46,False,1345,0.362500600022031
20,4716288,47,False,1330,0.36170869998750277
21,4115738,41,False,1214,0.3530841000028886
22,3314793,33,False,1371,0.367934999987483
23,3716098,37,False,1332,0.3800917000044137
24,4616908,46,False,1312,0.43134129999089055
25,4315998,43,False,1336,0.40509080002084374
26,4116923,41,False,1375,0.3652198000054341
27,4715878,47,False,1316,0.3731942999875173
28,3716498,37,False,1364,0.384841699997196
29,4317198,43,False,1373,0.39055799998459406
